"death_date","region"
"10/31/2023","West Bank"
"10/31/2023","West Bank"
"10/31/2023","West Bank"
"10/30/2023","West Bank"
"10/30/2023","West Bank"
"10/30/2023","West Bank"
"10/30/2023","West Bank"
"10/30/2023","West Bank"
"10/30/2023","West Bank"
"10/29/2023","West Bank"
"10/29/2023","West Bank"
"10/29/2023","West Bank"
"10/29/2023","West Bank"
"10/29/2023","West Bank"
"10/28/2023","West Bank"
"10/27/2023","West Bank"
"10/27/2023","West Bank"
"10/27/2023","West Bank"
"10/27/2023","West Bank"
"10/26/2023","West Bank"
"10/25/2023","West Bank"
"10/25/2023","West Bank"
"10/25/2023","West Bank"
"10/25/2023","West Bank"
"10/25/2023","West Bank"
"10/25/2023","West Bank"
"10/25/2023","West Bank"
"10/23/2023","West Bank"
"10/23/2023","West Bank"
"10/22/2023","West Bank"
"10/22/2023","West Bank"
"10/22/2023","West Bank"
"10/22/2023","West Bank"
"10/22/2023","West Bank"
"10/22/2023","West Bank"
"10/22/2023","West Bank"
"10/22/2023","West Bank"
"10/21/2023","West Bank"
"10/26/2023","West Bank"
"10/20/2023","West Bank"
"10/20/2023","West Bank"
"10/19/2023","West Bank"
"10/19/2023","West Bank"
"10/19/2023","West Bank"
"10/19/2023","West Bank"
"10/19/2023","West Bank"
"10/19/2023","West Bank"
"10/19/2023","West Bank"
"10/19/2023","West Bank"
"10/19/2023","West Bank"
"10/19/2023","West Bank"
"10/19/2023","West Bank"
"10/19/2023","West Bank"
"10/19/2023","West Bank"
"10/19/2023","West Bank"
"10/19/2023","West Bank"
"10/18/2023","West Bank"
"10/18/2023","West Bank"
"10/18/2023","West Bank"
"10/17/2023","West Bank"
"10/16/2023","West Bank"
"10/16/2023","West Bank"
"10/15/2023","West Bank"
"10/14/2023","West Bank"
"10/14/2023","West Bank"
"10/13/2023","West Bank"
"10/16/2023","West Bank"
"10/13/2023","West Bank"
"10/13/2023","West Bank"
"10/13/2023","West Bank"
"10/13/2023","West Bank"
"10/13/2023","West Bank"
"10/13/2023","West Bank"
"10/17/2023","West Bank"
"10/13/2023","West Bank"
"10/13/2023","West Bank"
"10/13/2023","West Bank"
"10/13/2023","West Bank"
"10/13/2023","West Bank"
"10/13/2023","West Bank"
"10/13/2023","West Bank"
"10/12/2023","West Bank"
"10/13/2023","West Bank"
"10/12/2023","West Bank"
"10/12/2023","West Bank"
"10/12/2023","West Bank"
"10/12/2023","West Bank"
"10/11/2023","West Bank"
"10/11/2023","West Bank"
"10/11/2023","West Bank"
"10/10/2023","West Bank"
"10/10/2023","West Bank"
"10/10/2023","West Bank"
"10/10/2023","West Bank"
"10/14/2023","West Bank"
"10/10/2023","West Bank"
"10/9/2023","West Bank"
"10/9/2023","West Bank"
"10/9/2023","West Bank"
"10/8/2023","West Bank"
"10/8/2023","West Bank"
"10/8/2023","West Bank"
"10/8/2023","West Bank"
"10/8/2023","West Bank"
"10/8/2023","West Bank"
"10/8/2023","West Bank"
"10/8/2023","West Bank"
"10/8/2023","West Bank"
"10/7/2023","West Bank"
"10/7/2023","West Bank"
"10/7/2023","West Bank"
"10/7/2023","West Bank"
"10/7/2023","West Bank"
"10/7/2023","West Bank"
"10/5/2023","West Bank"
"10/5/2023","West Bank"
"10/5/2023","West Bank"
"9/29/2023","West Bank"
"9/24/2023","West Bank"
"9/24/2023","West Bank"
"9/22/2023","West Bank"
"9/20/2023","West Bank"
"9/19/2023","West Bank"
"9/20/2023","West Bank"
"9/19/2023","Gaza Strip"
"9/19/2023","West Bank"
"9/19/2023","West Bank"
"9/9/2023","West Bank"
"9/5/2023","West Bank"
"9/5/2023","West Bank"
"9/1/2023","West Bank"
"8/31/2023","West Bank"
"8/30/2023","West Bank"
"8/22/2023","West Bank"
"8/17/2023","West Bank"
"8/19/2023","West Bank"
"8/15/2023","West Bank"
"8/15/2023","West Bank"
"8/11/2023","West Bank"
"8/19/2023","West Bank"
"8/6/2023","West Bank"
"8/6/2023","West Bank"
"8/6/2023","West Bank"
"8/4/2023","West Bank"
"8/7/2023","West Bank"
"8/1/2023","West Bank"
"8/1/2023","West Bank"
"7/26/2023","West Bank"
"7/25/2023","West Bank"
"7/25/2023","West Bank"
"7/25/2023","West Bank"
"7/21/2023","West Bank"
"7/21/2023","West Bank"
"7/20/2023","West Bank"
"7/10/2023","West Bank"
"7/7/2023","West Bank"
"7/7/2023","West Bank"
"7/7/2023","West Bank"
"7/4/2023","West Bank"
"7/4/2023","West Bank"
"7/3/2023","West Bank"
"7/3/2023","West Bank"
"7/3/2023","West Bank"
"7/3/2023","West Bank"
"7/3/2023","West Bank"
"7/3/2023","West Bank"
"7/3/2023","West Bank"
"7/3/2023","West Bank"
"7/3/2023","West Bank"
"8/25/2023","West Bank"
"7/3/2023","West Bank"
"6/24/2023","West Bank"
"6/24/2023","West Bank"
"6/21/2023","West Bank"
"6/21/2023","West Bank"
"6/21/2023","West Bank"
"6/21/2023","West Bank"
"6/20/2023","West Bank"
"6/21/2023","West Bank"
"6/19/2023","West Bank"
"6/20/2023","West Bank"
"6/19/2023","West Bank"
"6/19/2023","West Bank"
"6/19/2023","West Bank"
"6/19/2023","West Bank"
"6/19/2023","West Bank"
"6/15/2023","West Bank"
"6/13/2023","West Bank"
"6/9/2023","West Bank"
"6/5/2023","West Bank"
"5/29/2023","West Bank"
"5/22/2023","West Bank"
"5/22/2023","West Bank"
"5/22/2023","West Bank"
"5/15/2023","West Bank"
"5/13/2023","West Bank"
"5/13/2023","West Bank"
"5/13/2023","West Bank"
"5/12/2023","Gaza Strip"
"5/12/2023","Gaza Strip"
"5/11/2023","West Bank"
"5/11/2023","Gaza Strip"
"5/11/2023","Gaza Strip"
"5/11/2023","Gaza Strip"
"5/11/2023","Gaza Strip"
"5/11/2023","Gaza Strip"
"5/11/2023","Gaza Strip"
"5/11/2023","Gaza Strip"
"5/12/2023","Gaza Strip"
"5/11/2023","Gaza Strip"
"5/12/2023","Gaza Strip"
"5/10/2023","Gaza Strip"
"5/10/2023","Gaza Strip"
"5/10/2023","Gaza Strip"
"5/10/2023","West Bank"
"5/10/2023","West Bank"
"5/11/2023","West Bank"
"5/9/2023","Gaza Strip"
"5/9/2023","Gaza Strip"
"5/9/2023","Gaza Strip"
"5/9/2023","Gaza Strip"
"5/9/2023","Gaza Strip"
"5/9/2023","Gaza Strip"
"5/9/2023","Gaza Strip"
"5/9/2023","Gaza Strip"
"5/9/2023","Gaza Strip"
"5/9/2023","Gaza Strip"
"5/9/2023","Gaza Strip"
"5/9/2023","Gaza Strip"
"5/9/2023","Gaza Strip"
"5/9/2023","Gaza Strip"
"5/9/2023","Gaza Strip"
"5/6/2023","West Bank"
"5/6/2023","West Bank"
"5/4/2023","West Bank"
"5/4/2023","West Bank"
"5/4/2023","West Bank"
"5/4/2023","West Bank"
"5/3/2023","Gaza Strip"
"5/1/2023","West Bank"
"4/28/2023","West Bank"
"4/27/2023","West Bank"
"4/24/2023","West Bank"
"4/11/2023","West Bank"
"4/11/2023","West Bank"
"4/10/2023","West Bank"
"4/8/2023","West Bank"
"4/3/2023","West Bank"
"4/3/2023","West Bank"
"4/1/2023","West Bank"
"3/23/2023","West Bank"
"3/17/2023","West Bank"
"3/16/2023","West Bank"
"3/16/2023","West Bank"
"3/16/2023","West Bank"
"3/16/2023","West Bank"
"3/12/2023","West Bank"
"3/12/2023","West Bank"
"3/12/2023","West Bank"
"3/10/2023","West Bank"
"3/9/2023","West Bank"
"3/9/2023","Israel"
"3/9/2023","West Bank"
"3/9/2023","West Bank"
"3/7/2023","West Bank"
"3/7/2023","West Bank"
"3/7/2023","West Bank"
"3/7/2023","West Bank"
"3/7/2023","West Bank"
"3/7/2023","West Bank"
"3/9/2023","West Bank"
"3/2/2023","West Bank"
"3/1/2023","West Bank"
"2/24/2023","West Bank"
"2/22/2023","West Bank"
"2/22/2023","West Bank"
"3/28/2023","West Bank"
"2/22/2023","West Bank"
"2/22/2023","West Bank"
"2/22/2023","West Bank"
"2/22/2023","West Bank"
"2/22/2023","West Bank"
"2/22/2023","West Bank"
"2/22/2023","West Bank"
"2/22/2023","West Bank"
"2/14/2023","West Bank"
"2/13/2023","West Bank"
"2/23/2023","West Bank"
"2/12/2023","West Bank"
"2/10/2023","West Bank"
"2/9/2023","West Bank"
"2/20/2023","West Bank"
"2/7/2023","West Bank"
"2/6/2023","West Bank"
"2/6/2023","West Bank"
"2/6/2023","West Bank"
"2/6/2023","West Bank"
"2/6/2023","West Bank"
"2/3/2023","West Bank"
"1/30/2023","West Bank"
"1/27/2023","West Bank"
"1/26/2023","West Bank"
"1/29/2023","West Bank"
"1/26/2023","West Bank"
"1/26/2023","West Bank"
"1/26/2023","West Bank"
"1/26/2023","West Bank"
"1/26/2023","West Bank"
"1/26/2023","West Bank"
"1/26/2023","West Bank"
"1/26/2023","West Bank"
"1/26/2023","West Bank"
"1/25/2023","West Bank"
"1/27/2023","West Bank"
"1/25/2023","West Bank"
"1/16/2023","West Bank"
"1/19/2023","West Bank"
"1/19/2023","West Bank"
"1/17/2023","West Bank"
"1/15/2023","West Bank"
"1/14/2023","West Bank"
"1/14/2023","West Bank"
"1/12/2023","West Bank"
"1/12/2023","West Bank"
"1/12/2023","West Bank"
"1/11/2023","West Bank"
"1/5/2023","West Bank"
"1/3/2023","West Bank"
"1/2/2023","West Bank"
"1/2/2023","West Bank"
"1/14/2023","West Bank"
"12/22/2022","West Bank"
"12/11/2022","West Bank"
"12/8/2022","West Bank"
"12/8/2022","West Bank"
"12/8/2022","West Bank"
"12/8/2022","West Bank"
"12/7/2022","West Bank"
"12/5/2022","West Bank"
"12/2/2022","West Bank"
"12/1/2022","West Bank"
"12/1/2022","West Bank"
"11/30/2022","West Bank"
"11/29/2022","West Bank"
"11/29/2022","West Bank"
"11/29/2022","West Bank"
"11/29/2022","West Bank"
"11/29/2022","West Bank"
"11/22/2022","West Bank"
"11/23/2022","West Bank"
"11/21/2022","West Bank"
"11/15/2022","West Bank"
"11/14/2022","West Bank"
"11/9/2022","West Bank"
"11/9/2022","West Bank"
"11/5/2022","West Bank"
"11/3/2022","West Bank"
"11/3/2022","West Bank"
"11/3/2022","West Bank"
"11/3/2022","West Bank"
"11/2/2022","West Bank"
"10/28/2022","West Bank"
"10/28/2022","West Bank"
"10/25/2022","West Bank"
"10/25/2022","West Bank"
"10/25/2022","West Bank"
"10/25/2022","West Bank"
"10/25/2022","West Bank"
"10/23/2022","West Bank"
"10/22/2022","West Bank"
"10/21/2022","West Bank"
"10/14/2022","West Bank"
"10/16/2022","West Bank"
"10/14/2022","West Bank"
"10/14/2022","West Bank"
"10/12/2022","West Bank"
"10/8/2022","West Bank"
"10/8/2022","West Bank"
"10/7/2022","West Bank"
"10/7/2022","West Bank"
"10/5/2022","West Bank"
"10/3/2022","West Bank"
"10/3/2022","West Bank"
"10/1/2022","West Bank"
"9/28/2022","West Bank"
"9/28/2022","West Bank"
"9/28/2022","West Bank"
"10/10/2022","West Bank"
"9/28/2022","West Bank"
"10/20/2022","West Bank"
"9/25/2022","West Bank"
"9/24/2022","West Bank"
"9/22/2022","Israel"
"9/15/2022","West Bank"
"9/14/2022","West Bank"
"9/14/2022","West Bank"
"9/8/2022","West Bank"
"9/7/2022","West Bank"
"9/11/2022","West Bank"
"9/6/2022","West Bank"
"9/5/2022","West Bank"
"9/2/2022","West Bank"
"9/1/2022","West Bank"
"8/19/2022","West Bank"
"8/18/2022","West Bank"
"8/15/2022","West Bank"
"8/23/2022","West Bank"
"8/9/2022","West Bank"
"8/9/2022","West Bank"
"8/9/2022","West Bank"
"8/9/2022","West Bank"
"8/7/2022","Gaza Strip"
"8/7/2022","Gaza Strip"
"8/8/2022","Gaza Strip"
"8/7/2022","Gaza Strip"
"8/7/2022","Gaza Strip"
"8/7/2022","Gaza Strip"
"8/7/2022","Gaza Strip"
"8/7/2022","Gaza Strip"
"8/7/2022","Gaza Strip"
"8/6/2022","Gaza Strip"
"8/6/2022","Gaza Strip"
"8/6/2022","Gaza Strip"
"8/6/2022","Gaza Strip"
"8/6/2022","Gaza Strip"
"8/6/2022","Gaza Strip"
"8/6/2022","Gaza Strip"
"8/6/2022","Gaza Strip"
"8/6/2022","Gaza Strip"
"8/6/2022","Gaza Strip"
"8/9/2022","Gaza Strip"
"8/6/2022","Gaza Strip"
"1/26/2023","Gaza Strip"
"8/5/2022","Gaza Strip"
"8/5/2022","Gaza Strip"
"8/5/2022","Gaza Strip"
"8/5/2022","Gaza Strip"
"8/5/2022","Gaza Strip"
"8/5/2022","Gaza Strip"
"8/11/2022","Gaza Strip"
"8/5/2022","Gaza Strip"
"8/5/2022","Gaza Strip"
"8/5/2022","Gaza Strip"
"8/5/2022","Gaza Strip"
"8/1/2022","West Bank"
"7/29/2022","West Bank"
"11/23/2022","West Bank"
"7/24/2022","West Bank"
"7/24/2022","West Bank"
"7/6/2022","West Bank"
"7/3/2022","West Bank"
"6/29/2022","West Bank"
"6/25/2022","West Bank"
"6/19/2022","West Bank"
"6/17/2022","West Bank"
"6/17/2022","West Bank"
"6/17/2022","West Bank"
"6/9/2022","West Bank"
"6/2/2022","West Bank"
"6/2/2022","West Bank"
"6/11/2022","West Bank"
"6/1/2022","West Bank"
"6/1/2022","West Bank"
"5/27/2022","West Bank"
"5/25/2022","West Bank"
"5/21/2022","West Bank"
"5/15/2022","West Bank"
"5/11/2022","West Bank"
"5/11/2022","West Bank"
"5/8/2022","West Bank"
"4/30/2022","West Bank"
"4/27/2022","West Bank"
"4/26/2022","West Bank"
"4/21/2022","West Bank"
"4/15/2022","West Bank"
"4/14/2022","West Bank"
"4/14/2022","West Bank"
"4/14/2022","West Bank"
"4/13/2022","West Bank"
"4/13/2022","West Bank"
"4/13/2022","West Bank"
"4/11/2022","Israel"
"4/11/2022","West Bank"
"4/10/2022","West Bank"
"4/10/2022","West Bank"
"4/10/2022","West Bank"
"4/18/2022","West Bank"
"4/9/2022","West Bank"
"4/8/2022","Israel"
"4/2/2022","West Bank"
"4/2/2022","West Bank"
"4/2/2022","West Bank"
"4/1/2022","West Bank"
"3/31/2022","West Bank"
"3/31/2022","West Bank"
"3/29/2022","Israel"
"3/15/2022","West Bank"
"3/15/2022","West Bank"
"3/7/2022","West Bank"
"3/6/2022","West Bank"
"3/6/2022","West Bank"
"3/1/2022","West Bank"
"3/1/2022","West Bank"
"3/1/2022","West Bank"
"3/9/2022","West Bank"
"2/22/2022","West Bank"
"2/15/2022","West Bank"
"2/13/2022","West Bank"
"2/8/2022","West Bank"
"2/8/2022","West Bank"
"2/8/2022","West Bank"
"1/17/2022","West Bank"
"1/12/2022","West Bank"
"1/6/2022","West Bank"
"12/31/2021","West Bank"
"12/22/2021","West Bank"
"12/21/2021","West Bank"
"12/13/2021","West Bank"
"12/10/2021","West Bank"
"12/6/2021","West Bank"
"12/4/2021","West Bank"
"11/21/2021","West Bank"
"11/16/2021","West Bank"
"11/5/2021","West Bank"
"10/14/2021","West Bank"
"9/30/2021","West Bank"
"9/30/2021","Gaza Strip"
"9/30/2021","West Bank"
"9/26/2021","West Bank"
"9/26/2021","West Bank"
"9/26/2021","West Bank"
"9/26/2021","West Bank"
"9/26/2021","West Bank"
"9/24/2021","West Bank"
"9/10/2021","West Bank"
"9/2/2021","Gaza Strip"
"8/31/2021","West Bank"
"8/24/2021","West Bank"
"8/25/2021","Gaza Strip"
"8/28/2021","Gaza Strip"
"8/16/2021","West Bank"
"8/16/2021","West Bank"
"8/16/2021","West Bank"
"8/16/2021","West Bank"
"8/6/2021","West Bank"
"8/11/2021","West Bank"
"7/29/2021","West Bank"
"7/28/2021","West Bank"
"7/27/2021","West Bank"
"7/23/2021","West Bank"
"7/3/2021","West Bank"
"6/16/2021","West Bank"
"6/17/2021","West Bank"
"6/12/2021","West Bank"
"6/11/2021","West Bank"
"6/10/2021","West Bank"
"6/10/2021","West Bank"
"6/10/2021","West Bank"
"5/28/2021","West Bank"
"5/25/2021","West Bank"
"5/24/2021","West Bank"
"5/20/2021","Gaza Strip"
"5/20/2021","Gaza Strip"
"5/20/2021","Gaza Strip"
"5/20/2021","Gaza Strip"
"5/19/2021","Gaza Strip"
"6/1/2022","Gaza Strip"
"5/19/2021","Gaza Strip"
"5/19/2021","Gaza Strip"
"5/19/2021","Gaza Strip"
"5/19/2021","Gaza Strip"
"5/19/2021","Gaza Strip"
"5/19/2021","West Bank"
"5/19/2021","Gaza Strip"
"5/18/2021","West Bank"
"5/20/2021","West Bank"
"5/18/2021","Gaza Strip"
"5/24/2021","Gaza Strip"
"5/18/2021","West Bank"
"5/18/2021","West Bank"
"5/18/2021","West Bank"
"5/17/2021","Gaza Strip"
"5/17/2021","Gaza Strip"
"5/17/2021","Gaza Strip"
"5/17/2021","Gaza Strip"
"5/17/2021","Gaza Strip"
"5/17/2021","Gaza Strip"
"5/17/2021","Gaza Strip"
"5/17/2021","Gaza Strip"
"5/17/2021","Gaza Strip"
"5/17/2021","Gaza Strip"
"5/17/2021","Gaza Strip"
"5/17/2021","West Bank"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
"5/16/2021","Gaza Strip"
