death_date;region;Age;Gender
31.10.23;West Bank;73;M
31.10.23;West Bank;16;M
31.10.23;West Bank;14;M
30.10.23;West Bank;27;M
30.10.23;West Bank;23;M
30.10.23;West Bank;26;M
30.10.23;West Bank;17;M
30.10.23;West Bank;26;M
30.10.23;West Bank;16;M
29.10.23;West Bank;31;M
29.10.23;West Bank;32;M
29.10.23;West Bank;35;M
29.10.23;West Bank;29;M
29.10.23;West Bank;29;M
28.10.23;West Bank;39;M
27.10.23;West Bank;28;M
27.10.23;West Bank;16;M
27.10.23;West Bank;24;M
27.10.23;West Bank;26;M
26.10.23;West Bank;15;M
25.10.23;West Bank;18;M
25.10.23;West Bank;17;M
25.10.23;West Bank;16;M
25.10.23;West Bank;15;M
25.10.23;West Bank;18;M
25.10.23;West Bank;20;M
25.10.23;West Bank;17;M
23.10.23;West Bank;22;M
23.10.23;West Bank;20;M
22.10.23;West Bank;15;M
22.10.23;West Bank;29;M
22.10.23;West Bank;23;M
22.10.23;West Bank;27;M
22.10.23;West Bank;20;M
22.10.23;West Bank;14;M
22.10.23;West Bank;19;M
22.10.23;West Bank;26;M
21.10.23;West Bank;18;M
26.10.23;West Bank;25;M
20.10.23;West Bank;17;M
20.10.23;West Bank;15;M
19.10.23;West Bank;21;M
19.10.23;West Bank;11;M
19.10.23;West Bank;43;M
19.10.23;West Bank;25;M
19.10.23;West Bank;33;M
19.10.23;West Bank;36;M
19.10.23;West Bank;15;M
19.10.23;West Bank;15;M
19.10.23;West Bank;19;M
19.10.23;West Bank;19;M
19.10.23;West Bank;15;M
19.10.23;West Bank;14;M
19.10.23;West Bank;15;M
19.10.23;West Bank;32;M
19.10.23;West Bank;17;M
18.10.23;West Bank;15;M
18.10.23;West Bank;17;M
18.10.23;West Bank;22;M
17.10.23;West Bank;28;M
16.10.23;West Bank;23;M
16.10.23;West Bank;19;M
15.10.23;West Bank;17;M
14.10.23;West Bank;27;M
14.10.23;West Bank;22;M
13.10.23;West Bank;17;M
16.10.23;West Bank;33;M
13.10.23;West Bank;39;M
13.10.23;West Bank;25;M
13.10.23;West Bank;32;M
13.10.23;West Bank;23;M
13.10.23;West Bank;27;M
13.10.23;West Bank;21;M
17.10.23;West Bank;72;M
13.10.23;West Bank;23;M
13.10.23;West Bank;31;M
13.10.23;West Bank;17;M
13.10.23;West Bank;16;M
13.10.23;West Bank;13;M
13.10.23;West Bank;17;M
13.10.23;West Bank;23;M
12.10.23;West Bank;23;M
13.10.23;West Bank;14;M
12.10.23;West Bank;22;M
12.10.23;West Bank;18;M
12.10.23;West Bank;21;M
12.10.23;West Bank;40;F
11.10.23;West Bank;21;M
11.10.23;West Bank;35;M
11.10.23;West Bank;16;M
10.10.23;West Bank;25;M
10.10.23;West Bank;18;M
10.10.23;West Bank;24;M
10.10.23;West Bank;20;M
14.10.23;West Bank;16;M
10.10.23;West Bank;20;M
09.10.23;West Bank;18;M
09.10.23;West Bank;31;M
09.10.23;West Bank;20;M
08.10.23;West Bank;37;M
08.10.23;West Bank;36;M
08.10.23;West Bank;17;M
08.10.23;West Bank;17;M
08.10.23;West Bank;25;M
08.10.23;West Bank;16;M
08.10.23;West Bank;25;M
08.10.23;West Bank;21;M
08.10.23;West Bank;19;M
07.10.23;West Bank;18;M
07.10.23;West Bank;18;M
07.10.23;West Bank;24;M
07.10.23;West Bank;22;M
07.10.23;West Bank;16;M
07.10.23;West Bank;12;M
05.10.23;West Bank;26;M
05.10.23;West Bank;23;M
05.10.23;West Bank;25;M
29.09.23;West Bank;18;M
24.09.23;West Bank;32;M
24.09.23;West Bank;21;M
22.09.23;West Bank;16;M
20.09.23;West Bank;19;M
19.09.23;West Bank;15;M
20.09.23;West Bank;29;M
19.09.23;Gaza Strip;24;M
19.09.23;West Bank;25;M
19.09.23;West Bank;23;M
09.09.23;West Bank;15;M
05.09.23;West Bank;16;M
05.09.23;West Bank;21;M
01.09.23;West Bank;45;M
31.08.23;West Bank;41;M
30.08.23;West Bank;14;M
22.08.23;West Bank;17;M
17.08.23;West Bank;32;M
19.08.23;West Bank;19;M
15.08.23;West Bank;16;M
15.08.23;West Bank;25;M
11.08.23;West Bank;24;M
19.08.23;West Bank;24;M
06.08.23;West Bank;21;M
06.08.23;West Bank;26;M
06.08.23;West Bank;16;M
04.08.23;West Bank;17;M
07.08.23;West Bank;17;M
01.08.23;West Bank;20;M
01.08.23;West Bank;15;M
26.07.23;West Bank;23;M
25.07.23;West Bank;32;M
25.07.23;West Bank;32;M
25.07.23;West Bank;42;M
21.07.23;West Bank;18;M
21.07.23;West Bank;16;M
20.07.23;West Bank;18;M
10.07.23;West Bank;33;M
07.07.23;West Bank;32;M
07.07.23;West Bank;34;M
07.07.23;West Bank;24;M
04.07.23;West Bank;20;M
04.07.23;West Bank;16;M
03.07.23;West Bank;21;M
03.07.23;West Bank;19;M
03.07.23;West Bank;19;M
03.07.23;West Bank;26;M
03.07.23;West Bank;21;M
03.07.23;West Bank;18;M
03.07.23;West Bank;17;M
03.07.23;West Bank;15;M
03.07.23;West Bank;16;M
25.08.23;West Bank;19;M
03.07.23;West Bank;19;M
24.06.23;West Bank;16;M
24.06.23;West Bank;39;M
21.06.23;West Bank;28;M
21.06.23;West Bank;24;M
21.06.23;West Bank;27;M
21.06.23;West Bank;15;M
20.06.23;West Bank;24;M
21.06.23;West Bank;14;F
19.06.23;West Bank;19;M
20.06.23;West Bank;48;M
19.06.23;West Bank;18;M
19.06.23;West Bank;19;M
19.06.23;West Bank;21;M
19.06.23;West Bank;14;M
19.06.23;West Bank;31;M
15.06.23;West Bank;19;M
13.06.23;West Bank;19;M
09.06.23;West Bank;29;M
05.06.23;West Bank;2;M
29.05.23;West Bank;38;M
22.05.23;West Bank;24;M
22.05.23;West Bank;30;M
22.05.23;West Bank;30;M
15.05.23;West Bank;22;M
13.05.23;West Bank;19;M
13.05.23;West Bank;32;M
13.05.23;West Bank;32;M
12.05.23;Gaza Strip;33;M
12.05.23;Gaza Strip;51;M
11.05.23;West Bank;66;M
11.05.23;Gaza Strip;49;M
11.05.23;Gaza Strip;33;M
11.05.23;Gaza Strip;25;M
11.05.23;Gaza Strip;43;M
11.05.23;Gaza Strip;23;M
11.05.23;Gaza Strip;31;M
11.05.23;Gaza Strip;21;M
12.05.23;Gaza Strip;36;M
11.05.23;Gaza Strip;43;M
12.05.23;Gaza Strip;25;M
10.05.23;Gaza Strip;28;M
10.05.23;Gaza Strip;23;M
10.05.23;Gaza Strip;26;M
10.05.23;West Bank;18;M
10.05.23;West Bank;24;M
11.05.23;West Bank;30;M
09.05.23;Gaza Strip;33;M
09.05.23;Gaza Strip;27;M
09.05.23;Gaza Strip;48;M
09.05.23;Gaza Strip;52;M
09.05.23;Gaza Strip;19;M
09.05.23;Gaza Strip;44;F
09.05.23;Gaza Strip;10;F
09.05.23;Gaza Strip;8;M
09.05.23;Gaza Strip;19;F
09.05.23;Gaza Strip;17;F
09.05.23;Gaza Strip;4;F
09.05.23;Gaza Strip;43;F
09.05.23;Gaza Strip;44;M
09.05.23;Gaza Strip;61;M
09.05.23;Gaza Strip;61;F
06.05.23;West Bank;23;M
06.05.23;West Bank;20;M
04.05.23;West Bank;45;M
04.05.23;West Bank;35;M
04.05.23;West Bank;35;M
04.05.23;West Bank;26;F
03.05.23;Gaza Strip;58;M
01.05.23;West Bank;17;M
28.04.23;West Bank;15;M
27.04.23;West Bank;39;M
24.04.23;West Bank;21;M
11.04.23;West Bank;38;M
11.04.23;West Bank;35;M
10.04.23;West Bank;17;M
08.04.23;West Bank;19;M
03.04.23;West Bank;20;M
03.04.23;West Bank;42;M
01.04.23;West Bank;23;M
23.03.23;West Bank;24;M
17.03.23;West Bank;22;M
16.03.23;West Bank;29;M
16.03.23;West Bank;28;M
16.03.23;West Bank;35;M
16.03.23;West Bank;14;M
12.03.23;West Bank;24;M
12.03.23;West Bank;22;M
12.03.23;West Bank;18;M
10.03.23;West Bank;14;M
09.03.23;West Bank;29;M
09.03.23;Israel;23;M
09.03.23;West Bank;22;M
09.03.23;West Bank;25;M
07.03.23;West Bank;29;M
07.03.23;West Bank;31;M
07.03.23;West Bank;49;M
07.03.23;West Bank;21;M
07.03.23;West Bank;27;M
07.03.23;West Bank;26;M
09.03.23;West Bank;15;M
02.03.23;West Bank;17;M
01.03.23;West Bank;21;M
24.02.23;West Bank;20;M
22.02.23;West Bank;23;M
22.02.23;West Bank;24;M
28.03.23;West Bank;28;M
22.02.23;West Bank;23;M
22.02.23;West Bank;25;M
22.02.23;West Bank;32;M
22.02.23;West Bank;22;M
22.02.23;West Bank;16;M
22.02.23;West Bank;64;M
22.02.23;West Bank;71;M
22.02.23;West Bank;23;M
14.02.23;West Bank;17;M
13.02.23;West Bank;21;M
23.02.23;West Bank;29;M
12.02.23;West Bank;16;M
10.02.23;West Bank;31;M
09.02.23;West Bank;19;M
20.02.23;West Bank;16;M
07.02.23;West Bank;16;M
06.02.23;West Bank;22;M
06.02.23;West Bank;27;M
06.02.23;West Bank;21;M
06.02.23;West Bank;22;M
06.02.23;West Bank;;M
03.02.23;West Bank;25;M
30.01.23;West Bank;26;M
27.01.23;West Bank;21;M
26.01.23;West Bank;36;M
29.01.23;West Bank;24;M
26.01.23;West Bank;22;M
26.01.23;West Bank;34;M
26.01.23;West Bank;34;M
26.01.23;West Bank;60;F
26.01.23;West Bank;16;M
26.01.23;West Bank;17;M
26.01.23;West Bank;21;M
26.01.23;West Bank;25;M
26.01.23;West Bank;22;M
25.01.23;West Bank;20;M
27.01.23;West Bank;17;M
25.01.23;West Bank;18;M
16.01.23;West Bank;14;M
19.01.23;West Bank;57;M
19.01.23;West Bank;26;M
17.01.23;West Bank;40;M
15.01.23;West Bank;45;M
14.01.23;West Bank;22;M
14.01.23;West Bank;20;M
12.01.23;West Bank;26;M
12.01.23;West Bank;18;M
12.01.23;West Bank;41;M
11.01.23;West Bank;21;M
05.01.23;West Bank;16;M
03.01.23;West Bank;15;M
02.01.23;West Bank;21;M
02.01.23;West Bank;17;M
14.01.23;West Bank;19;M
22.12.22;West Bank;23;M
11.12.22;West Bank;15;F
08.12.22;West Bank;19;M
08.12.22;West Bank;26;M
08.12.22;West Bank;46;M
08.12.22;West Bank;16;M
07.12.22;West Bank;32;M
05.12.22;West Bank;22;M
02.12.22;West Bank;23;M
01.12.22;West Bank;34;M
01.12.22;West Bank;22;M
30.11.22;West Bank;27;M
29.11.22;West Bank;45;M
29.11.22;West Bank;22;M
29.11.22;West Bank;19;M
29.11.22;West Bank;21;M
29.11.22;West Bank;44;M
22.11.22;West Bank;16;M
23.11.22;West Bank;23;M
21.11.22;West Bank;17;M
15.11.22;West Bank;18;M
14.11.22;West Bank;14;F
09.11.22;West Bank;29;M
09.11.22;West Bank;15;M
05.11.22;West Bank;18;M
03.11.22;West Bank;20;M
03.11.22;West Bank;14;M
03.11.22;West Bank;28;M
03.11.22;West Bank;41;M
02.11.22;West Bank;54;M
28.10.22;West Bank;34;M
28.10.22;West Bank;50;M
25.10.22;West Bank;19;M
25.10.22;West Bank;31;M
25.10.22;West Bank;26;M
25.10.22;West Bank;34;M
25.10.22;West Bank;26;M
23.10.22;West Bank;32;M
22.10.22;West Bank;32;M
21.10.22;West Bank;19;M
14.10.22;West Bank;22;M
16.10.22;West Bank;30;M
14.10.22;West Bank;25;M
14.10.22;West Bank;42;M
12.10.22;West Bank;17;M
08.10.22;West Bank;18;M
08.10.22;West Bank;17;M
07.10.22;West Bank;14;M
07.10.22;West Bank;17;M
