"date","source","IDPs at Shelters","IDPs at UNRWA Shelters","IDPs at Government Shelters","Number of Shelters","UNRWA Shelters","Government Shelters"
"10/07/2023","Gaza","1000","1000","","14","14",""
"10/08/2023","Gaza","16000","16000","","21","21",""
"10/09/2023","Gaza","25000","25000","","32","32",""
"10/10/2023","Gaza","7000","7000","","32","32",""
"10/11/2023","Gaza","16000","7000","9000","42","32","10"
"10/12/2023","Gaza","20000","8000","12000","45","32","13"
"10/13/2023","Gaza","21000","8000","13000","47","32","15"
"10/14/2023","Gaza","24000","8000","16000","49","32","17"
"10/15/2023","Gaza","23000","8000","16000","49","32","17"
"10/16/2023","Gaza","24000","8000","16000","50","32","18"
"10/17/2023","Gaza","25000","8000","17000","51","32","19"
"10/18/2023","Gaza","27000","8000","19000","53","32","21"
"10/19/2023","Gaza","27000","8000","19000","53","32","21"
"10/20/2023","Gaza","27000","8000","19000","53","32","21"
"10/21/2023","Gaza","26000","8000","18000","53","32","21"
"10/22/2023","Gaza","26000","8000","18000","53","32","21"
"10/23/2023","Gaza","29000","8000","21000","57","32","25"
"10/24/2023","Gaza","29000","8000","21000","56","32","24"
"10/25/2023","Gaza","29000","8000","21000","56","32","24"
"10/26/2023","Gaza","29000","8000","22000","57","32","25"
"10/27/2023","Gaza","31000","8000","23000","57","32","25"
"10/28/2023","Gaza","28000","8000","20000","57","32","25"
"10/29/2023","Gaza","28000","8000","20000","57","32","25"
"10/30/2023","Gaza","32000","8000","24000","60","32","28"
"10/31/2023","Gaza","33000","8000","25000","61","32","29"
"11/01/2023","Gaza","75000","48000","27000","64","32","32"
"11/02/2023","Gaza","75000","48000","27000","64","32","32"
"11/03/2023","Gaza","75000","48000","28000","60","32","28"
"11/04/2023","Gaza","83000","48000","35000","70","32","38"
"11/05/2023","Gaza","85000","48000","35000","70","32","38"
"11/06/2023","Gaza","85000","48000","37000","70","32","38"
"11/07/2023","Gaza","86000","48000","39000","70","32","38"
"11/08/2023","Gaza","93000","48000","45000","73","32","41"
"11/09/2023","Gaza","93000","48000","45000","73","32","41"
"11/10/2023","Gaza","70000","48000","22000","66","32","34"
"11/11/2023","Gaza","70000","48000","22000","66","32","34"
"11/12/2023","Gaza","81000","48000","33000","57","32","25"
"11/13/2023","Gaza","81000","48000","33000","57","32","25"
"11/14/2023","Gaza","80000","48000","32000","57","32","25"
"11/15/2023","Gaza","80000","48000","32000","57","32","25"
"11/16/2023","Gaza","86000","48000","38000","61","32","29"
"11/17/2023","Gaza","86000","48000","38000","61","32","29"
"11/18/2023","Gaza","84000","48000","37000","62","32","30"
"11/19/2023","Gaza","84000","48000","37000","62","32","30"
"11/20/2023","Gaza","87000","48000","39000","66","32","34"
"11/21/2023","Gaza","87000","48000","39000","66","32","34"
"11/22/2023","Gaza","87000","48000","39000","66","32","34"
"11/23/2023","Gaza","109000","48000","62000","73","32","41"
"11/24/2023","Gaza","109000","48000","62000","73","32","41"
"11/25/2023","Gaza","109000","48000","62000","73","32","41"
"11/26/2023","Gaza","109000","48000","62000","73","32","41"
"11/27/2023","Gaza","109000","48000","62000","73","32","41"
"11/28/2023","Gaza","109000","48000","62000","73","32","41"
"11/29/2023","Gaza","109000","48000","62000","73","32","41"
"11/30/2023","Gaza","109000","48000","62000","73","32","41"
"12/01/2023","Gaza","109000","48000","62000","73","32","41"
"12/02/2023","Gaza","109000","48000","62000","73","32","41"
"12/03/2023","Gaza","109000","48000","62000","73","32","41"
"12/04/2023","Gaza","109000","48000","62000","73","32","41"
"12/05/2023","Gaza","93000","48000","45000","60","32","28"
"12/06/2023","Gaza","93000","48000","45000","60","32","28"
"12/07/2023","Gaza","93000","48000","45000","60","32","28"
"12/08/2023","Gaza","93000","48000","45000","60","32","28"
"12/09/2023","Gaza","93000","48000","45000","60","32","28"
"12/10/2023","Gaza","93000","48000","45000","60","32","28"
"12/11/2023","Gaza","93000","48000","45000","60","32","28"
"12/12/2023","Gaza","93000","48000","45000","60","32","28"
"12/13/2023","Gaza","93000","48000","45000","60","32","28"
"12/14/2023","Gaza","93000","48000","45000","60","32","28"
"12/18/2023","Gaza","93000","48000","45000","60","32","28"
"12/19/2023","Gaza","93000","48000","45000","60","32","28"
"12/23/2023","Gaza","93000","48000","45000","60","32","28"
"12/24/2023","Gaza","93000","48000","45000","60","32","28"
"12/25/2023","Gaza","93000","48000","45000","60","32","28"
"12/29/2023","Gaza","93000","48000","45000","60","32","28"
"12/30/2023","Gaza","93000","48000","45000","60","32","28"
"12/31/2023","Gaza","93000","48000","45000","60","32","28"
"01/01/2024","Gaza","93000","48000","45000","60","32","28"
"01/02/2024","Gaza","93000","48000","45000","60","32","28"
"01/03/2024","Gaza","93000","48000","45000","60","32","28"
"01/04/2024","Gaza","93000","48000","45000","60","32","28"
"01/05/2024","Gaza","93000","48000","45000","60","32","28"
