death_date,region,Age,Gender
10/31/2023,West Bank,73,M
10/31/2023,West Bank,16,M
10/31/2023,West Bank,14,M
10/30/2023,West Bank,27,M
10/30/2023,West Bank,23,M
10/30/2023,West Bank,26,M
10/30/2023,West Bank,17,M
10/30/2023,West Bank,26,M
10/30/2023,West Bank,16,M
10/29/2023,West Bank,31,M
10/29/2023,West Bank,32,M
10/29/2023,West Bank,35,M
10/29/2023,West Bank,29,M
10/29/2023,West Bank,29,M
10/28/2023,West Bank,39,M
10/27/2023,West Bank,28,M
10/27/2023,West Bank,16,M
10/27/2023,West Bank,24,M
10/27/2023,West Bank,26,M
10/26/2023,West Bank,15,M
10/25/2023,West Bank,18,M
10/25/2023,West Bank,17,M
10/25/2023,West Bank,16,M
10/25/2023,West Bank,15,M
10/25/2023,West Bank,18,M
10/25/2023,West Bank,20,M
10/25/2023,West Bank,17,M
10/23/2023,West Bank,22,M
10/23/2023,West Bank,20,M
10/22/2023,West Bank,15,M
10/22/2023,West Bank,29,M
10/22/2023,West Bank,23,M
10/22/2023,West Bank,27,M
10/22/2023,West Bank,20,M
10/22/2023,West Bank,14,M
10/22/2023,West Bank,19,M
10/22/2023,West Bank,26,M
10/21/2023,West Bank,18,M
10/26/2023,West Bank,25,M
10/20/2023,West Bank,17,M
10/20/2023,West Bank,15,M
10/19/2023,West Bank,21,M
10/19/2023,West Bank,11,M
10/19/2023,West Bank,43,M
10/19/2023,West Bank,25,M
10/19/2023,West Bank,33,M
10/19/2023,West Bank,36,M
10/19/2023,West Bank,15,M
10/19/2023,West Bank,15,M
10/19/2023,West Bank,19,M
10/19/2023,West Bank,19,M
10/19/2023,West Bank,15,M
10/19/2023,West Bank,14,M
10/19/2023,West Bank,15,M
10/19/2023,West Bank,32,M
10/19/2023,West Bank,17,M
10/18/2023,West Bank,15,M
10/18/2023,West Bank,17,M
10/18/2023,West Bank,22,M
10/17/2023,West Bank,28,M
10/16/2023,West Bank,23,M
10/16/2023,West Bank,19,M
10/15/2023,West Bank,17,M
10/14/2023,West Bank,27,M
10/14/2023,West Bank,22,M
10/13/2023,West Bank,17,M
10/16/2023,West Bank,33,M
10/13/2023,West Bank,39,M
10/13/2023,West Bank,25,M
10/13/2023,West Bank,32,M
10/13/2023,West Bank,23,M
10/13/2023,West Bank,27,M
10/13/2023,West Bank,21,M
10/17/2023,West Bank,72,M
10/13/2023,West Bank,23,M
10/13/2023,West Bank,31,M
10/13/2023,West Bank,17,M
10/13/2023,West Bank,16,M
10/13/2023,West Bank,13,M
10/13/2023,West Bank,17,M
10/13/2023,West Bank,23,M
10/12/2023,West Bank,23,M
10/13/2023,West Bank,14,M
10/12/2023,West Bank,22,M
10/12/2023,West Bank,18,M
10/12/2023,West Bank,21,M
10/12/2023,West Bank,40,F
10/11/2023,West Bank,21,M
10/11/2023,West Bank,35,M
10/11/2023,West Bank,16,M
10/10/2023,West Bank,25,M
10/10/2023,West Bank,18,M
10/10/2023,West Bank,24,M
10/10/2023,West Bank,20,M
10/14/2023,West Bank,16,M
10/10/2023,West Bank,20,M
10/9/2023,West Bank,18,M
10/9/2023,West Bank,31,M
10/9/2023,West Bank,20,M
10/8/2023,West Bank,37,M
10/8/2023,West Bank,36,M
10/8/2023,West Bank,17,M
10/8/2023,West Bank,17,M
10/8/2023,West Bank,25,M
10/8/2023,West Bank,16,M
10/8/2023,West Bank,25,M
10/8/2023,West Bank,21,M
10/8/2023,West Bank,19,M
10/7/2023,West Bank,18,M
10/7/2023,West Bank,18,M
10/7/2023,West Bank,24,M
10/7/2023,West Bank,22,M
10/7/2023,West Bank,16,M
10/7/2023,West Bank,12,M
10/5/2023,West Bank,26,M
10/5/2023,West Bank,23,M
10/5/2023,West Bank,25,M
9/29/2023,West Bank,18,M
9/24/2023,West Bank,32,M
9/24/2023,West Bank,21,M
9/22/2023,West Bank,16,M
9/20/2023,West Bank,19,M
9/19/2023,West Bank,15,M
9/20/2023,West Bank,29,M
9/19/2023,Gaza Strip,24,M
9/19/2023,West Bank,25,M
9/19/2023,West Bank,23,M
9/9/2023,West Bank,15,M
9/5/2023,West Bank,16,M
9/5/2023,West Bank,21,M
9/1/2023,West Bank,45,M
8/31/2023,West Bank,41,M
8/30/2023,West Bank,14,M
8/22/2023,West Bank,17,M
8/17/2023,West Bank,32,M
8/19/2023,West Bank,19,M
8/15/2023,West Bank,16,M
8/15/2023,West Bank,25,M
8/11/2023,West Bank,24,M
8/19/2023,West Bank,24,M
8/6/2023,West Bank,21,M
8/6/2023,West Bank,26,M
8/6/2023,West Bank,16,M
8/4/2023,West Bank,17,M
8/7/2023,West Bank,17,M
8/1/2023,West Bank,20,M
8/1/2023,West Bank,15,M
7/26/2023,West Bank,23,M
7/25/2023,West Bank,32,M
7/25/2023,West Bank,32,M
7/25/2023,West Bank,42,M
7/21/2023,West Bank,18,M
7/21/2023,West Bank,16,M
7/20/2023,West Bank,18,M
7/10/2023,West Bank,33,M
7/7/2023,West Bank,32,M
7/7/2023,West Bank,34,M
7/7/2023,West Bank,24,M
7/4/2023,West Bank,20,M
7/4/2023,West Bank,16,M
7/3/2023,West Bank,21,M
7/3/2023,West Bank,19,M
7/3/2023,West Bank,19,M
7/3/2023,West Bank,26,M
7/3/2023,West Bank,21,M
7/3/2023,West Bank,18,M
7/3/2023,West Bank,17,M
7/3/2023,West Bank,15,M
7/3/2023,West Bank,16,M
8/25/2023,West Bank,19,M
7/3/2023,West Bank,19,M
6/24/2023,West Bank,16,M
6/24/2023,West Bank,39,M
6/21/2023,West Bank,28,M
6/21/2023,West Bank,24,M
6/21/2023,West Bank,27,M
6/21/2023,West Bank,15,M
6/20/2023,West Bank,24,M
6/21/2023,West Bank,14,F
6/19/2023,West Bank,19,M
6/20/2023,West Bank,48,M
6/19/2023,West Bank,18,M
6/19/2023,West Bank,19,M
6/19/2023,West Bank,21,M
6/19/2023,West Bank,14,M
6/19/2023,West Bank,31,M
6/15/2023,West Bank,19,M
6/13/2023,West Bank,19,M
6/9/2023,West Bank,29,M
6/5/2023,West Bank,2,M
5/29/2023,West Bank,38,M
5/22/2023,West Bank,24,M
5/22/2023,West Bank,30,M
5/22/2023,West Bank,30,M
5/15/2023,West Bank,22,M
5/13/2023,West Bank,19,M
5/13/2023,West Bank,32,M
5/13/2023,West Bank,32,M
5/12/2023,Gaza Strip,33,M
5/12/2023,Gaza Strip,51,M
5/11/2023,West Bank,66,M
5/11/2023,Gaza Strip,49,M
5/11/2023,Gaza Strip,33,M
5/11/2023,Gaza Strip,25,M
5/11/2023,Gaza Strip,43,M
5/11/2023,Gaza Strip,23,M
5/11/2023,Gaza Strip,31,M
5/11/2023,Gaza Strip,21,M
5/12/2023,Gaza Strip,36,M
5/11/2023,Gaza Strip,43,M
5/12/2023,Gaza Strip,25,M
5/10/2023,Gaza Strip,28,M
5/10/2023,Gaza Strip,23,M
5/10/2023,Gaza Strip,26,M
5/10/2023,West Bank,18,M
5/10/2023,West Bank,24,M
5/11/2023,West Bank,30,M
5/9/2023,Gaza Strip,33,M
5/9/2023,Gaza Strip,27,M
5/9/2023,Gaza Strip,48,M
5/9/2023,Gaza Strip,52,M
5/9/2023,Gaza Strip,19,M
5/9/2023,Gaza Strip,44,F
5/9/2023,Gaza Strip,10,F
5/9/2023,Gaza Strip,8,M
5/9/2023,Gaza Strip,19,F
5/9/2023,Gaza Strip,17,F
5/9/2023,Gaza Strip,4,F
5/9/2023,Gaza Strip,43,F
5/9/2023,Gaza Strip,44,M
5/9/2023,Gaza Strip,61,M
5/9/2023,Gaza Strip,61,F
5/6/2023,West Bank,23,M
5/6/2023,West Bank,20,M
5/4/2023,West Bank,45,M
5/4/2023,West Bank,35,M
5/4/2023,West Bank,35,M
5/4/2023,West Bank,26,F
5/3/2023,Gaza Strip,58,M
5/1/2023,West Bank,17,M
4/28/2023,West Bank,15,M
4/27/2023,West Bank,39,M
4/24/2023,West Bank,21,M
4/11/2023,West Bank,38,M
4/11/2023,West Bank,35,M
4/10/2023,West Bank,17,M
4/8/2023,West Bank,19,M
4/3/2023,West Bank,20,M
4/3/2023,West Bank,42,M
4/1/2023,West Bank,23,M
3/23/2023,West Bank,24,M
3/17/2023,West Bank,22,M
3/16/2023,West Bank,29,M
3/16/2023,West Bank,28,M
3/16/2023,West Bank,35,M
3/16/2023,West Bank,14,M
3/12/2023,West Bank,24,M
3/12/2023,West Bank,22,M
3/12/2023,West Bank,18,M
3/10/2023,West Bank,14,M
3/9/2023,West Bank,29,M
3/9/2023,Israel,23,M
3/9/2023,West Bank,22,M
3/9/2023,West Bank,25,M
3/7/2023,West Bank,29,M
