source,target,value
Gaza,IDPs at UNRWA Shelters,1000.0
Gaza,IDPs at UNRWA Shelters,16000.0
Gaza,IDPs at UNRWA Shelters,25000.0
Gaza,IDPs at UNRWA Shelters,7000.0
Gaza,IDPs at UNRWA Shelters,7000.0
Gaza,IDPs at Government Shelters,9000.0
Gaza,IDPs at UNRWA Shelters,8000.0
Gaza,IDPs at Government Shelters,12000.0
Gaza,IDPs at UNRWA Shelters,8000.0
Gaza,IDPs at Government Shelters,13000.0
Gaza,IDPs at UNRWA Shelters,8000.0
Gaza,IDPs at Government Shelters,16000.0
Gaza,IDPs at UNRWA Shelters,8000.0
Gaza,IDPs at Government Shelters,16000.0
Gaza,IDPs at UNRWA Shelters,8000.0
Gaza,IDPs at Government Shelters,16000.0
Gaza,IDPs at UNRWA Shelters,8000.0
Gaza,IDPs at Government Shelters,17000.0
Gaza,IDPs at UNRWA Shelters,8000.0
Gaza,IDPs at Government Shelters,19000.0
Gaza,IDPs at UNRWA Shelters,8000.0
Gaza,IDPs at Government Shelters,19000.0
Gaza,IDPs at UNRWA Shelters,8000.0
Gaza,IDPs at Government Shelters,19000.0
Gaza,IDPs at UNRWA Shelters,8000.0
Gaza,IDPs at Government Shelters,18000.0
Gaza,IDPs at UNRWA Shelters,8000.0
Gaza,IDPs at Government Shelters,18000.0
Gaza,IDPs at UNRWA Shelters,8000.0
Gaza,IDPs at Government Shelters,21000.0
Gaza,IDPs at UNRWA Shelters,8000.0
Gaza,IDPs at Government Shelters,21000.0
Gaza,IDPs at UNRWA Shelters,8000.0
Gaza,IDPs at Government Shelters,21000.0
Gaza,IDPs at UNRWA Shelters,8000.0
Gaza,IDPs at Government Shelters,22000.0
Gaza,IDPs at UNRWA Shelters,8000.0
Gaza,IDPs at Government Shelters,23000.0
Gaza,IDPs at UNRWA Shelters,8000.0
Gaza,IDPs at Government Shelters,20000.0
Gaza,IDPs at UNRWA Shelters,8000.0
Gaza,IDPs at Government Shelters,20000.0
Gaza,IDPs at UNRWA Shelters,8000.0
Gaza,IDPs at Government Shelters,24000.0
Gaza,IDPs at UNRWA Shelters,8000.0
Gaza,IDPs at Government Shelters,25000.0
Gaza,IDPs at UNRWA Shelters,48000.0
Gaza,IDPs at Government Shelters,27000.0
Gaza,IDPs at UNRWA Shelters,48000.0
Gaza,IDPs at Government Shelters,27000.0
Gaza,IDPs at UNRWA Shelters,48000.0
Gaza,IDPs at Government Shelters,28000.0
Gaza,IDPs at UNRWA Shelters,48000.0
Gaza,IDPs at Government Shelters,35000.0
